posession,quarter,event,special_type,location_description,result_description,away_score,home_score
away,2,,,1st and 10 at BYU 29,JoJo Natson run for 6 yds to the BYU 23,,
away,2,,,2nd and 4 at BYU 23,"UTAH ST Penalty, False Start (Taani Fisilau) to the BYU 28",,
away,2,,,2nd and 9 at BYU 28,Kennedy Williams run for 1 yd to the BYU 27,,
away,2,,,3rd and 8 at BYU 27,Darell Garretson pass complete to JoJo Natson for 4 yds to the BYU 23,,
away,2,,,4th and 4 at BYU 23,"BYU Penalty, Defensive Offside (5 Yards) to the BYU 18 for a 1ST down",,
away,2,,,1st and 10 at BYU 18,Rashad Hall run for 4 yds to the BYU 14,,
away,2,,,2nd and 6 at BYU 14,Darell Garretson pass complete to Ronald Butler for 5 yds to the BYU 9,,
,2,,,,"Timeout BYU, clock 05:44",,
away,2,,,3rd and 1 at BYU 9,Nick Vigil run for 3 yds to the BYU 6 for a 1ST down,,
away,2,,,1st and Goal at BYU 6,Nick Vigil run for 1 yd to the BYU 5,,
away,2,,,2nd and Goal at BYU 5,"Darell Garretson run for 5 yds for a TD, (Nick Diaz KICK)",14,14
away,2,,,,Jake Thompson kickoff for 65 yds for a touchback,14,14
home,2,,,1st and 10 at BYU 25,"Jamaal Williams run for a loss of 3 yards to the BYU 22 Jamaal Williams fumbled, recovered by UthSt",,
away,2,,,1st and 10 at BYU 22,"Darell Garretson pass complete to Devonte Robinson for 22 yds for a TD, (Nick Diaz KICK)",21,14
away,2,,,,Jake Thompson kickoff for 65 yds for a touchback,21,14
home,2,,,1st and 10 at BYU 25,Jamaal Williams run for 4 yds to the BYU 29,,
home,2,,,2nd and 6 at BYU 29,Taysom Hill pass complete to Mitch Mathews for 6 yds to the BYU 35 for a 1ST down,,
home,2,,,1st and 10 at BYU 35,Jamaal Williams run for 13 yds to the BYU 48 for a 1ST down,,
home,2,,,1st and 10 at BYU 48,Jamaal Williams run for 3 yds to the UthSt 49,,
home,2,,,2nd and 7 at USU 49,Taysom Hill run for 2 yds to the UthSt 47,,
home,2,,,,"Timeout UTAH ST, clock 02:26",,
home,2,,,3rd and 5 at USU 47,Jamaal Williams run for 4 yds to the UthSt 43,,
home,2,,,4th and 1 at USU 43,"BYU Penalty, False Start (Tuni Kanuch) to the UthSt 49",,
home,2,,,4th and 7 at USU 49,"Scott Arellano punt for 36 yds, fair catch by JoJo Natson at the UthSt 13",,
away,2,,,1st and 10 at USU 13,LaJuan Hunt run for 4 yds to the UthSt 17,21,14
away,2,,,2nd and 6 at USU 17,Darell Garretson pass complete to Hunter Sharp for 11 yds to the UthSt 28 for a 1ST down,,
away,2,,,1st and 10 at USU 28,"Darell Garretson pass complete to Hunter Sharp for 72 yds for a TD, (Nick Diaz KICK)",28,14
away,2,,,,"Jake Thompson kickoff for 65 yds , Adam Hine return for 21 yds to the BYU 21",28,14
home,2,,,1st and 10 at BYU 21,"BYU Penalty, Offensive Holding (De'Ondre Wesley) to the BYU 11",,
home,2,,,1st and 20 at BYU 11,Jamaal Williams run for 1 yd to the BYU 12,,
,,,,,End of 2nd Quarter,,
home,3,,,,Andrew Mikkelsen kickoff for 65 yds for a touchback,28,14
away,3,,,1st and 10 at USU 25,Nick Vigil run for 5 yds to the UthSt 30,,
away,3,,,2nd and 5 at USU 30,Darell Garretson pass complete to Devonte Robinson for 9 yds to the UthSt 39 for a 1ST down,,
away,3,,,1st and 10 at USU 39,Darell Garretson pass complete to Devonte Robinson for 4 yds to the UthSt 43,,
away,3,,,2nd and 6 at USU 43,"UTAH ST Penalty, Illegal Formation (-5 Yards) to the UthSt 38",,
away,3,,,2nd and 11 at USU 38,Darell Garretson pass complete to Joe Hill for 2 yds to the UthSt 40,,
away,3,,,3rd and 9 at USU 40,"UTAH ST Penalty, False Start (Kevin Whimpey) to the UthSt 35",,
away,3,,,3rd and 14 at USU 35,Kennedy Williams run for 9 yds to the UthSt 44,,
away,3,,,4th and 5 at USU 44,"Jaron Bentrude punt for 46 yds, fair catch by Devon Blackmon at the BYU 10",,
home,3,,,1st and 10 at BYU 10,Christian Stewart pass complete to Mitch Mathews for 9 yds to the BYU 19,28,14
home,3,,,2nd and 1 at BYU 19,Jamaal Williams run for 7 yds to the BYU 26 for a 1ST down,,
home,3,,,1st and 10 at BYU 26,Christian Stewart run for a loss of 1 yard to the BYU 25,,
home,3,,,2nd and 11 at BYU 25,Christian Stewart pass complete to Mitch Mathews for 15 yds to the BYU 40 for a 1ST down,,
home,3,,,1st and 10 at BYU 40,Algernon Brown run for 3 yds to the BYU 43,,
home,3,,,2nd and 7 at BYU 43,Christian Stewart pass incomplete to Mitch Mathews,,
home,3,,,3rd and 7 at BYU 43,Christian Stewart pass complete to Jordan Leslie for 37 yds to the UthSt 20 for a 1ST down,,
home,3,,,1st and 10 at USU 20,"Christian Stewart run for 1 yd to the UthSt 19 for a 1ST down UTAH ST Penalty, Personal Foul (11 Yards) to the UthSt 8 for a 1ST down",,
home,3,,,1st and Goal at USU 8,Christian Stewart pass intercepted Torrey Green return for no gain to the UthSt 2,,
away,3,,,1st and 10 at USU 2,Nick Vigil run for a loss of 1 yard to the UthSt 1,28,14
away,3,,,2nd and 11 at USU 1,LaJuan Hunt run for no gain to the UthSt 1,,
away,3,,,3rd and 11 at USU 1,Nick Vigil run for 1 yd to the UthSt 2,,
away,3,,,4th and 10 at USU 2,"Jaron Bentrude punt for 40 yds , Devon Blackmon returns for 4 yds to the UthSt 38",,
home,3,,,1st and 10 at USU 38,Jamaal Williams run for 4 yds to the UthSt 34,28,14
home,3,,,2nd and 6 at USU 34,Jamaal Williams run for 10 yds to the UthSt 24 for a 1ST down,,
home,3,,,1st and 10 at USU 24,Jamaal Williams run for no gain to the UthSt 24,,
home,3,,,2nd and 10 at USU 24,Christian Stewart pass complete to Jamaal Williams for 1 yd to the UthSt 23,,
home,3,,,3rd and 9 at USU 23,Christian Stewart pass incomplete to Terenn Houk,,
home,3,,,4th and 9 at USU 23,Trevor Samson 41 yd FG GOOD,28,17
home,3,,,,"Andrew Mikkelsen kickoff for 62 yds , Kennedy Williams return for 21 yds to the UthSt 24",28,17
away,3,,,1st and 10 at USU 24,Joe Hill run for 9 yds to the UthSt 33,,
away,3,,,2nd and 1 at USU 33,Joe Hill run for 3 yds to the UthSt 36 for a 1ST down,,
